Title,Console,Genre,Publisher,Developer,Critic_score,Total Global sales,release_date,last_update,Region,Sales
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,North American sales,1150000
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,European & African sales,200000
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,Rest of world sales,50000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,North American sales,180000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,European & African sales,10000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,Rest of world sales,20000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,North American sales,490000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,European & African sales,130000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,Rest of world sales,10000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,North American sales,1960000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,European & African sales,720000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,Rest of world sales,110000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,North American sales,760000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,European & African sales,520000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,Rest of world sales,90000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,North American sales,170000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,European & African sales,120000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,Rest of world sales,20000
A Game of Thrones: Genesis,PC,Strategy,Focus Home Interactive,Cyanide,4.9,30000,28-09-2011 00:00,,European & African sales,30000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,North American sales,230000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,European & African sales,160000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,Rest of world sales,80000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,North American sales,170000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,European & African sales,50000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,Rest of world sales,20000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,North American sales,80000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,Japanese sales,30000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,Rest of world sales,10000
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,6.7,230000,16-11-2008 00:00,,North American sales,210000
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,6.7,230000,16-11-2008 00:00,,Rest of world sales,20000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,North American sales,90000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,European & African sales,20000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,Rest of world sales,10000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,North American sales,230000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,Japanese sales,300000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,European & African sales,140000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,Rest of world sales,40000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,North American sales,300000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,Japanese sales,220000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,European & African sales,160000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,Rest of world sales,70000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,North American sales,300000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,Japanese sales,30000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,European & African sales,120000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,Rest of world sales,40000
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Bandai Namco Entertainment Games,Namco Bandai Games,7,250000,15-11-2011 00:00,,North American sales,100000
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Bandai Namco Entertainment Games,Namco Bandai Games,7,250000,15-11-2011 00:00,,Japanese sales,80000
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Bandai Namco Entertainment Games,Namco Bandai Games,7,250000,15-11-2011 00:00,,European & African sales,60000
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Bandai Namco Entertainment Games,Namco Bandai Games,7,250000,15-11-2011 00:00,,Rest of world sales,10000
Ace Combat: Joint Assault,PSP,Simulation,Bandai Namco Entertainment Games,Project ACES,7,290000,31-08-2010 00:00,,North American sales,60000
Ace Combat: Joint Assault,PSP,Simulation,Bandai Namco Entertainment Games,Project ACES,7,290000,31-08-2010 00:00,,Japanese sales,150000
Ace Combat: Joint Assault,PSP,Simulation,Bandai Namco Entertainment Games,Project ACES,7,290000,31-08-2010 00:00,,European & African sales,50000
Ace Combat: Joint Assault,PSP,Simulation,Bandai Namco Entertainment Games,Project ACES,7,290000,31-08-2010 00:00,,Rest of world sales,30000
Action Bass,PS,Action,Take-Two Interactive,Unknown,5.1,1140000,14-07-2000 00:00,,North American sales,640000
Action Bass,PS,Action,Take-Two Interactive,Unknown,5.1,1140000,14-07-2000 00:00,,European & African sales,430000
Action Bass,PS,Action,Take-Two Interactive,Unknown,5.1,1140000,14-07-2000 00:00,,Rest of world sales,70000
Activision Anthology,GBA,Misc,Activision Value,Aspyr,8,50000,08-12-2003 00:00,,North American sales,30000
Activision Anthology,GBA,Misc,Activision Value,Aspyr,8,50000,08-12-2003 00:00,,European & African sales,10000
Activision Hits: Remixed,PSP,Misc,Activision Value,Digital Eclipse Software,7.4,50000,08-11-2006 00:00,,North American sales,50000
Adidas Power Soccer,PS,Sports,Psygnosis,Shen Studios,7,40000,31-08-1996 00:00,,North American sales,20000
Adidas Power Soccer,PS,Sports,Psygnosis,Shen Studios,7,40000,31-08-1996 00:00,,European & African sales,10000
Adidas Power Soccer 98,PS,Sports,Psygnosis,Shen Studios,5.8,20000,30-06-1998 00:00,,North American sales,10000
Adidas Power Soccer 98,PS,Sports,Psygnosis,Shen Studios,5.8,20000,30-06-1998 00:00,,European & African sales,10000
Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,Konami,4.7,140000,04-11-2010 00:00,,North American sales,120000
Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,Konami,4.7,140000,04-11-2010 00:00,,European & African sales,20000
Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,Konami,4.7,140000,04-11-2010 00:00,,Rest of world sales,10000
Advance Guardian Heroes,GBA,Role-Playing,Ubisoft,"Treasure Co., Ltd.",7,40000,14-09-2004 00:00,,North American sales,30000
Advance Guardian Heroes,GBA,Role-Playing,Ubisoft,"Treasure Co., Ltd.",7,40000,14-09-2004 00:00,,European & African sales,10000
Advance Wars,GBA,Strategy,Nintendo,Intelligent Systems,9.4,700000,09-09-2001 00:00,,North American sales,500000
Advance Wars,GBA,Strategy,Nintendo,Intelligent Systems,9.4,700000,09-09-2001 00:00,,European & African sales,190000
Advance Wars,GBA,Strategy,Nintendo,Intelligent Systems,9.4,700000,09-09-2001 00:00,,Rest of world sales,10000
Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,Intelligent Systems,8.8,650000,24-06-2003 00:00,,North American sales,470000
Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,Intelligent Systems,8.8,650000,24-06-2003 00:00,,European & African sales,170000
Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,Intelligent Systems,8.8,650000,24-06-2003 00:00,,Rest of world sales,10000
Advance Wars: Days of Ruin,DS,Strategy,Nintendo,Intelligent Systems,8.4,610000,21-01-2008 00:00,,North American sales,430000
Advance Wars: Days of Ruin,DS,Strategy,Nintendo,Intelligent Systems,8.4,610000,21-01-2008 00:00,,European & African sales,130000
Advance Wars: Days of Ruin,DS,Strategy,Nintendo,Intelligent Systems,8.4,610000,21-01-2008 00:00,,Rest of world sales,50000
Advance Wars: Dual Strike,DS,Strategy,Nintendo,Intelligent Systems,9,390000,22-08-2005 00:00,,North American sales,300000
Advance Wars: Dual Strike,DS,Strategy,Nintendo,Intelligent Systems,9,390000,22-08-2005 00:00,,Japanese sales,40000
Advance Wars: Dual Strike,DS,Strategy,Nintendo,Intelligent Systems,9,390000,22-08-2005 00:00,,European & African sales,30000
Advance Wars: Dual Strike,DS,Strategy,Nintendo,Intelligent Systems,9,390000,22-08-2005 00:00,,Rest of world sales,30000
Adventure Island,NES,Platform,Hudson Soft Entertainment,Hudson Soft / West One,,1050000,01-09-1988 00:00,,Japanese sales,1050000
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,Action-Adventure,D3 Publisher,Way Forward,2.8,40000,12-12-2013 00:00,22-01-2018 00:00,North American sales,20000
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,Action-Adventure,D3 Publisher,Way Forward,2.8,40000,12-12-2013 00:00,22-01-2018 00:00,European & African sales,20000
Aedis Eclipse: Generation of Chaos,PSP,Role-Playing,NIS America,Neverland Company,5.8,20000,24-04-2007 00:00,,North American sales,20000
Aegis of Earth: Protonovus Assault,PS4,Action,Aksys Games,Acquire,4,40000,15-03-2016 00:00,15-06-2018 00:00,North American sales,30000
Aegis of Earth: Protonovus Assault,PS4,Action,Aksys Games,Acquire,4,40000,15-03-2016 00:00,15-06-2018 00:00,European & African sales,10000
Aegis of Earth: Protonovus Assault,PS4,Action,Aksys Games,Acquire,4,40000,15-03-2016 00:00,15-06-2018 00:00,Rest of world sales,10000
Aero Gauge,N64,Racing,ASCII Entertainment Games,Locomotive Games,4.5,70000,21-05-1998 00:00,,North American sales,60000
Aero Gauge,N64,Racing,ASCII Entertainment Games,Locomotive Games,4.5,70000,21-05-1998 00:00,,European & African sales,10000
AeroFighters Assault,N64,Action,Victory Lap Games,Paradigm Entertainment,5.4,190000,30-10-1997 00:00,,North American sales,150000
AeroFighters Assault,N64,Action,Victory Lap Games,Paradigm Entertainment,5.4,190000,30-10-1997 00:00,,European & African sales,40000
Afrika,PS3,Adventure,Natsume,Rhino Studios,6,220000,06-10-2009 00:00,,North American sales,120000
Afrika,PS3,Adventure,Natsume,Rhino Studios,6,220000,06-10-2009 00:00,,Japanese sales,80000
Afrika,PS3,Adventure,Natsume,Rhino Studios,6,220000,06-10-2009 00:00,,Rest of world sales,10000
Afro Samurai,X360,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.4,240000,27-01-2009 00:00,,North American sales,160000
Afro Samurai,X360,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.4,240000,27-01-2009 00:00,,European & African sales,50000
Afro Samurai,X360,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.4,240000,27-01-2009 00:00,,Rest of world sales,20000
Afro Samurai,PS3,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.5,200000,27-01-2009 00:00,,North American sales,120000
Afro Samurai,PS3,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.5,200000,27-01-2009 00:00,,European & African sales,50000
Afro Samurai,PS3,Action,Bandai Namco Entertainment Games,Namco Bandai Games,6.5,200000,27-01-2009 00:00,,Rest of world sales,30000
After Burner: Black Falcon,PSP,Simulation,Sega,Planet Moon Studios,7.4,10000,20-03-2007 00:00,,North American sales,10000
Again,DS,Adventure,KOEI,Cing,6,70000,30-03-2010 00:00,,North American sales,70000
Again,DS,Adventure,KOEI,Cing,6,70000,30-03-2010 00:00,,Rest of world sales,10000
Agatha Christie: The ABC Murders,DS,Adventure,DreamCatcher Interactive,DreamCatcher Interactive,6,100000,04-11-2009 00:00,,North American sales,80000
Agatha Christie: The ABC Murders,DS,Adventure,DreamCatcher Interactive,DreamCatcher Interactive,6,100000,04-11-2009 00:00,,European & African sales,10000
Agatha Christie: The ABC Murders,DS,Adventure,DreamCatcher Interactive,DreamCatcher Interactive,6,100000,04-11-2009 00:00,,Rest of world sales,10000
Age of Conan: Rise of the Godslayer,PC,Role-Playing,Funcom,Funcom,7.9,30000,11-05-2010 00:00,,European & African sales,20000
Age of Empires Online,PC,Strategy,Microsoft Game Studios,Microsoft Game Studios,7,60000,16-08-2011 00:00,,North American sales,10000
Age of Empires Online,PC,Strategy,Microsoft Game Studios,Microsoft Game Studios,7,60000,16-08-2011 00:00,,European & African sales,40000
Age of Empires Online,PC,Strategy,Microsoft Game Studios,Microsoft Game Studios,7,60000,16-08-2011 00:00,,Rest of world sales,10000
Age of Empires: Mythologies,DS,Strategy,THQ,Griptonite,8.2,210000,24-11-2008 00:00,,North American sales,160000
Age of Empires: Mythologies,DS,Strategy,THQ,Griptonite,8.2,210000,24-11-2008 00:00,,European & African sales,30000
Age of Empires: Mythologies,DS,Strategy,THQ,Griptonite,8.2,210000,24-11-2008 00:00,,Rest of world sales,20000
Age of Mythology: The Titans,PC,Strategy,Microsoft Game Studios,Ensemble Studios,8.2,60000,30-09-2003 00:00,,North American sales,30000
Age of Mythology: The Titans,PC,Strategy,Microsoft Game Studios,Ensemble Studios,8.2,60000,30-09-2003 00:00,,European & African sales,20000
Age of Mythology: The Titans,PC,Strategy,Microsoft Game Studios,Ensemble Studios,8.2,60000,30-09-2003 00:00,,Rest of world sales,10000
Aggressive Inline,PS2,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",8.7,350000,28-05-2002 00:00,,North American sales,170000
Aggressive Inline,PS2,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",8.7,350000,28-05-2002 00:00,,European & African sales,130000
Aggressive Inline,PS2,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",8.7,350000,28-05-2002 00:00,,Rest of world sales,40000
Aggressive Inline,XB,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",9,60000,29-07-2002 00:00,,North American sales,50000
Aggressive Inline,XB,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",9,60000,29-07-2002 00:00,,European & African sales,10000
Aggressive Inline,GC,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",8.9,60000,31-07-2002 00:00,,North American sales,40000
Aggressive Inline,GC,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",8.9,60000,31-07-2002 00:00,,European & African sales,10000
Agony,PS4,Action-Adventure,Maximum Games,Madmind Studio,5,30000,29-05-2018 00:00,30-04-2018 00:00,North American sales,20000
Aidyn Chronicles: The First Mage,N64,Role-Playing,THQ,H2O Interactive,6,100000,14-03-2001 00:00,,North American sales,80000
Aidyn Chronicles: The First Mage,N64,Role-Playing,THQ,H2O Interactive,6,100000,14-03-2001 00:00,,European & African sales,20000
Air Conflicts: Aces of World War II,PSP,Simulation,Graffiti,Cowboy Rodeo,3.3,50000,07-04-2009 00:00,,North American sales,50000
Air Conflicts: Secret Wars,X360,Simulation,Kalypso,Games Farm,6,80000,28-09-2011 00:00,,North American sales,60000
Air Conflicts: Secret Wars,X360,Simulation,Kalypso,Games Farm,6,80000,28-09-2011 00:00,,European & African sales,20000
Air Conflicts: Secret Wars,X360,Simulation,Kalypso,Games Farm,6,80000,28-09-2011 00:00,,Rest of world sales,10000
Air Traffic Chaos,DS,Simulation,Majesco,TechnoBrain,6.8,50000,09-09-2008 00:00,,North American sales,50000
AirForce Delta Storm,GBA,Shooter,Konami Digital Entertainment,Konami,7.5,20000,16-09-2002 00:00,,North American sales,20000
AirForce Delta Storm,GBA,Shooter,Konami Digital Entertainment,Konami,7.5,20000,16-09-2002 00:00,,European & African sales,10000
Akuji the Heartless,PS,Platform,Eidos Interactive,Crystal Dynamics,6.7,120000,31-12-1998 00:00,,North American sales,70000
Akuji the Heartless,PS,Platform,Eidos Interactive,Crystal Dynamics,6.7,120000,31-12-1998 00:00,,European & African sales,40000
Akuji the Heartless,PS,Platform,Eidos Interactive,Crystal Dynamics,6.7,120000,31-12-1998 00:00,,Rest of world sales,10000
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1330000,18-05-2010 00:00,,North American sales,660000
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1330000,18-05-2010 00:00,,Japanese sales,50000
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1330000,18-05-2010 00:00,,European & African sales,500000
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1330000,18-05-2010 00:00,,Rest of world sales,120000
Alex Rider: Stormbreaker,DS,Action,THQ,Altron,4,70000,02-10-2006 00:00,,North American sales,60000
Alexi Lalas International Soccer,PS,Sports,Take-Two Interactive,Z-Axis,4.4,70000,30-04-1999 00:00,,North American sales,40000
Alexi Lalas International Soccer,PS,Sports,Take-Two Interactive,Z-Axis,4.4,70000,30-04-1999 00:00,,European & African sales,30000
Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,Etranges Libellules,6.3,510000,02-03-2010 00:00,,North American sales,250000
Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,Etranges Libellules,6.3,510000,02-03-2010 00:00,,European & African sales,210000
Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,Etranges Libellules,6.3,510000,02-03-2010 00:00,,Rest of world sales,50000
Alice in Wonderland,DS,Adventure,Disney Interactive Studios,Etranges Libellules,7,480000,02-03-2010 00:00,,North American sales,250000
Alice in Wonderland,DS,Adventure,Disney Interactive Studios,Etranges Libellules,7,480000,02-03-2010 00:00,,European & African sales,180000
Alice in Wonderland,DS,Adventure,Disney Interactive Studios,Etranges Libellules,7,480000,02-03-2010 00:00,,Rest of world sales,50000
Alice: Madness Returns,PS3,Adventure,Electronic Arts,Spicy Horse,6.7,590000,14-06-2011 00:00,,North American sales,220000
Alice: Madness Returns,PS3,Adventure,Electronic Arts,Spicy Horse,6.7,590000,14-06-2011 00:00,,Japanese sales,40000
Alice: Madness Returns,PS3,Adventure,Electronic Arts,Spicy Horse,6.7,590000,14-06-2011 00:00,,European & African sales,240000
Alice: Madness Returns,PS3,Adventure,Electronic Arts,Spicy Horse,6.7,590000,14-06-2011 00:00,,Rest of world sales,80000
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,500000,14-06-2011 00:00,,North American sales,270000
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,500000,14-06-2011 00:00,,Japanese sales,40000
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,500000,14-06-2011 00:00,,European & African sales,150000
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,500000,14-06-2011 00:00,,Rest of world sales,40000
Alice: Madness Returns,PC,Adventure,Electronic Arts,Spicy Horse,6.7,120000,14-06-2011 00:00,,European & African sales,100000
Alice: Madness Returns,PC,Adventure,Electronic Arts,Spicy Horse,6.7,120000,14-06-2011 00:00,,Rest of world sales,10000
Alien Hominid,GC,Shooter,O3 Entertainment,The Behemoth,8.3,90000,23-11-2004 00:00,,North American sales,70000
Alien Hominid,GC,Shooter,O3 Entertainment,The Behemoth,8.3,90000,23-11-2004 00:00,,European & African sales,20000
Alien Syndrome,PSP,Role-Playing,Sega,Totally Games,4.9,80000,24-07-2007 00:00,,North American sales,70000
Alien Syndrome,PSP,Role-Playing,Sega,Totally Games,4.9,80000,24-07-2007 00:00,,Rest of world sales,10000
Alien Syndrome,Wii,Role-Playing,Sega,Totally Games,5.2,60000,24-07-2007 00:00,,North American sales,50000
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8,470000,01-09-1997 00:00,,North American sales,240000
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8,470000,01-09-1997 00:00,,Japanese sales,40000
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8,470000,01-09-1997 00:00,,European & African sales,160000
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8,470000,01-09-1997 00:00,,Rest of world sales,30000
Alien: Isolation,PS4,Adventure,Sega,Creative Assembly,,1090000,07-10-2014 00:00,05-01-2018 00:00,North American sales,290000
Alien: Isolation,PS4,Adventure,Sega,Creative Assembly,,1090000,07-10-2014 00:00,05-01-2018 00:00,Japanese sales,50000
Alien: Isolation,PS4,Adventure,Sega,Creative Assembly,,1090000,07-10-2014 00:00,05-01-2018 00:00,European & African sales,590000
Alien: Isolation,PS4,Adventure,Sega,Creative Assembly,,1090000,07-10-2014 00:00,05-01-2018 00:00,Rest of world sales,160000
Alienators: Evolution Continues,GBA,Action,Activision Value,Digital Eclipse,7,30000,07-11-2001 00:00,,North American sales,30000
Alienators: Evolution Continues,GBA,Action,Activision Value,Digital Eclipse,7,30000,07-11-2001 00:00,,European & African sales,10000
Aliens versus Predator,PC,Shooter,Fox Interactive,Rebellion Developments,8.7,10000,30-04-1999 00:00,,European & African sales,10000
Aliens vs Predator,X360,Shooter,Sega,Rebellion Developments,6,1060000,16-02-2010 00:00,,North American sales,550000
Aliens vs Predator,X360,Shooter,Sega,Rebellion Developments,6,1060000,16-02-2010 00:00,,European & African sales,400000
Aliens vs Predator,X360,Shooter,Sega,Rebellion Developments,6,1060000,16-02-2010 00:00,,Rest of world sales,110000
Aliens vs Predator,PS3,Shooter,Sega,Rebellion Developments,6.1,1040000,16-02-2010 00:00,,North American sales,410000
Aliens vs Predator,PS3,Shooter,Sega,Rebellion Developments,6.1,1040000,16-02-2010 00:00,,European & African sales,460000
Aliens vs Predator,PS3,Shooter,Sega,Rebellion Developments,6.1,1040000,16-02-2010 00:00,,Rest of world sales,180000
Aliens: Infestation,DS,Action,Sega,Way Forward,8.5,170000,11-10-2011 00:00,,North American sales,90000
Aliens: Infestation,DS,Action,Sega,Way Forward,8.5,170000,11-10-2011 00:00,,European & African sales,50000
Aliens: Infestation,DS,Action,Sega,Way Forward,8.5,170000,11-10-2011 00:00,,Rest of world sales,20000
All Grown Up! Express Yourself,GBA,Misc,THQ,Altron,3.7,180000,19-10-2004 00:00,,North American sales,130000
All Grown Up! Express Yourself,GBA,Misc,THQ,Altron,3.7,180000,19-10-2004 00:00,,European & African sales,50000
All Points Bulletin,PC,Action,Electronic Arts,Realtime Worlds,7,40000,29-06-2010 00:00,,European & African sales,30000
All Points Bulletin,PC,Action,Electronic Arts,Realtime Worlds,7,40000,29-06-2010 00:00,,Rest of world sales,10000
All Star Tennis 99,N64,Sports,Ubisoft,Smart Dog,5.1,50000,31-08-1999 00:00,,North American sales,40000
All Star Tennis 99,N64,Sports,Ubisoft,Smart Dog,5.1,50000,31-08-1999 00:00,,European & African sales,10000
Allied General,PS,Strategy,SSI,SSI,6.3,190000,30-09-1996 00:00,,North American sales,110000
Allied General,PS,Strategy,SSI,SSI,6.3,190000,30-09-1996 00:00,,European & African sales,70000
Allied General,PS,Strategy,SSI,SSI,6.3,190000,30-09-1996 00:00,,Rest of world sales,10000
All-Pro Football 2K8,X360,Sports,2K Sports Play Games,Visual Concepts,7.5,260000,16-07-2007 00:00,,North American sales,240000
All-Pro Football 2K8,X360,Sports,2K Sports Play Games,Visual Concepts,7.5,260000,16-07-2007 00:00,,Rest of world sales,20000
All-Star Baseball 2001,N64,Sports,Acclaim Entertainment,High Voltage Software,9.2,230000,29-02-2000 00:00,,North American sales,220000
All-Star Baseball 2001,N64,Sports,Acclaim Entertainment,High Voltage Software,9.2,230000,29-02-2000 00:00,,European & African sales,10000
All-Star Baseball 2002,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,6.5,220000,17-11-2001 00:00,,North American sales,170000
All-Star Baseball 2002,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,6.5,220000,17-11-2001 00:00,,European & African sales,40000
All-Star Baseball 2002,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,6.5,220000,17-11-2001 00:00,,Rest of world sales,10000
All-Star Baseball 2003,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,8.7,150000,25-02-2002 00:00,,North American sales,120000
All-Star Baseball 2003,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,8.7,150000,25-02-2002 00:00,,European & African sales,30000
All-Star Baseball 2003,GBA,Sports,Acclaim Entertainment,Software Creations,7.7,150000,31-05-2002 00:00,,North American sales,110000
All-Star Baseball 2003,GBA,Sports,Acclaim Entertainment,Software Creations,7.7,150000,31-05-2002 00:00,,European & African sales,40000
All-Star Baseball 2004,GBA,Sports,Acclaim Entertainment,Acclaim Entertainment,7.4,70000,23-02-2003 00:00,,North American sales,50000
All-Star Baseball 2004,GBA,Sports,Acclaim Entertainment,Acclaim Entertainment,7.4,70000,23-02-2003 00:00,,European & African sales,20000
Alone in the Dark,X360,Adventure,Atari,Eden Studios,6.3,490000,23-06-2008 00:00,,North American sales,140000
Alone in the Dark,X360,Adventure,Atari,Eden Studios,6.3,490000,23-06-2008 00:00,,European & African sales,300000
Alone in the Dark,X360,Adventure,Atari,Eden Studios,6.3,490000,23-06-2008 00:00,,Rest of world sales,50000
Alone In The Dark,Wii,Adventure,Atari,Hydravision Entertainment,3.1,180000,23-06-2008 00:00,,North American sales,90000
Alone In The Dark,Wii,Adventure,Atari,Hydravision Entertainment,3.1,180000,23-06-2008 00:00,,European & African sales,80000
Alone In The Dark,Wii,Adventure,Atari,Hydravision Entertainment,3.1,180000,23-06-2008 00:00,,Rest of world sales,20000
Alone in the Dark: The New Nightmare,PS,Adventure,Infogrames,Darkworks,7.2,160000,18-06-2001 00:00,,North American sales,90000
Alone in the Dark: The New Nightmare,PS,Adventure,Infogrames,Darkworks,7.2,160000,18-06-2001 00:00,,European & African sales,60000
